"T_degC","Salnty","STheta","BtlNum","RecInd","T_prec","T_qual","S_prec","S_qual","P_qual","O_qual","SThtaq","O2Satq","Chlqua","Phaqua","PO4q","SiO3qu","NO2q","NO3q","NH3q","C14A1p","C14A1q","C14A2p","C14A2q","DarkAp","DarkAq","MeanAp","MeanAq","R_Depth","R_TEMP","R_POTEMP","R_SALINITY","R_SIGMA","R_SVA","R_DYNHT","R_PRES","R_SAMP"
10.88,33.646,25.744,0.989444699403396,3,2,7.47182946339776,3,7.94505699869183,8.99999554734288,8.75561523966298,8.46701001169804,8.79348659531582,8.99984823973741,8.99984354710015,8.99932047473804,8.99968680632495,8.99545775618822,8.99312177199759,9,1,9,1,9,1,9,1,9,40,10.88,10.88,33.646,25.74,225,0.1,40,0.999404407385348
9.163,34.072,26.37453,0.989444699403396,7,2,7.47182946339776,3,6,8.99999554734288,6,6,6,9,9,8.99932047473804,8.99968680632495,8.99545775618822,8.99312177199759,8.94766788032646,1,9,1,9,1,9,1,9,250,9.16,9.14,34.072,26.375,169.7,0.722,252,0.999404407385348
6.58,34.227,26.872,0.989444699403396,3,2,7.47182946339776,3,7.94505699869183,8.99999554734288,8.75561523966298,8.46701001169804,8.79348659531582,9,9,8.99932047473804,8.99968680632495,8.99545775618822,8.99312177199759,9,1,9,1,9,1,9,1,9,397,6.58,6.54,34.227,26.87,123.1,0.7,400,0.999404407385348
10.59,33.377,25.585,0.989444699403396,7,2,7.47182946339776,3,7.94505699869183,9,8.75561523966298,8.46701001169804,8.79348659531582,9,9,9,9,9,9,9,1,9,1,9,1,9,1,9,30,10.59,10.59,33.377,25.58,239.8,0.07,30,0.999404407385348
6.104,34.2392,26.95003,1,3,2,7.47182946339776,3,7.94505699869183,8.99999554734288,8.75561523966298,8.46701001169804,8.79348659531582,9,9,8.99932047473804,8.99968680632495,8.99545775618822,8.99312177199759,8.94766788032646,1,9,1,9,1,9,1,9,516,6.1,6.06,34.239,26.95,117.4,1.05,520,1
11.69,33.682,25.628,0.989444699403396,7,2,7.47182946339776,3,7.94505699869183,9,8.75561523966298,8.46701001169804,8.79348659531582,9,9,9,9,9,9,9,1,9,1,9,1,9,1,9,150,11.69,11.67,33.682,25.62,238.8,0.46,151,0.999404407385348
9.07,33.746,26.128,0.989444699403396,7,2,7.47182946339776,3,7.94505699869183,9,8.75561523966298,8.46701001169804,8.79348659531582,9,9,9,9,9,9,9,1,9,1,9,1,9,1,9,125,9.07,9.06,33.746,26.12,190.1,0.31,126,0.999404407385348
7.38,34.182,26.726,0.989444699403396,3,2,7.47182946339776,3,7.94505699869183,8.99999554734288,8.75561523966298,8.46701001169804,8.79348659531582,9,9,8.99932047473804,8.99968680632495,8.99545775618822,8.99312177199759,9,1,9,1,9,1,9,1,9,319,7.38,7.35,34.182,26.72,136.2,0.61,321,0.999404407385348
13.45,32.618,24.459,0.989444699403396,5,3,7.47182946339776,3,7.94505699869183,9,9,8.46701001169804,9,9,9,9,9,9,9,9,1,9,1,9,1,9,1,9,10,13.45,13.45,32.618,24.45,346.6,0.03,10,0.999404407385348
6.18,33.8403502938806,25.8193937373642,0.989444699403396,3,2,7.47182946339776,2.71678721579824,9,9,9,9,9,9,9,9,9,9,9,9,1,9,1,9,1,9,1,9,655,6.18,10.8422950455292,33.8402954670835,25.8110102536062,220.938918250642,0.431763052336453,660,0.999404407385348
14.92,33.928,25.166,0.989444699403396,3,2,7.47182946339776,3,7.94505699869183,9,8.75561523966298,8.46701001169804,8.79348659531582,9,9,9,9,9,9,9,1,9,1,9,1,9,1,9,57,14.92,14.91,33.928,25.16,280.8,0.17,57,0.999404407385348
9.22,34.031,26.328,0.989444699403396,7,2,7.47182946339776,3,7.94505699869183,9,8.75561523966298,8.46701001169804,8.79348659531582,8.99984823973741,8.99984354710015,8.99932047473804,8.99968680632495,8.99545775618822,8.99312177199759,9,1,9,1,9,1,9,1,9,200,9.22,9.2,34.031,26.32,172.7,0.54,201,0.999404407385348
7.14,34.052,26.657,0.989444699403396,3,2,7.47182946339776,3,7.94505699869183,9,8.75561523966298,8.46701001169804,8.79348659531582,9,9,8.99932047473804,8.99968680632495,8.99545775618822,9,9,1,9,1,9,1,9,1,9,334,7.14,7.11,34.052,26.65,142.7,0.83,336,0.999404407385348
16.17,33.61,24.64,0.989444699403396,7,2,7.47182946339776,3,7.94505699869183,8.99999554734288,8.75561523966298,8.46701001169804,8.79348659531582,8.99984823973741,8.99984354710015,8.99932047473804,8.99968680632495,8.99545775618822,8.99312177199759,9,1,9,1,9,1,9,1,9,0,16.17,16.17,33.61,24.64,328.8,0,0,0.999404407385348
8.82,33.99,26.358,0.989444699403396,5,2,7.47182946339776,2,7.94505699869183,9,9,8.46701001169804,9,9,9,9,9,9,9,9,1,9,1,9,1,9,1,9,125,8.82,8.81,33.99,26.35,168.2,0.27,126,0.999404407385348
4.67,34.394,27.239,0.989444699403396,7,2,7.47182946339776,3,7.94505699869183,9,8.75561523966298,8.46701001169804,8.79348659531582,9,9,9,9,9,9,9,1,9,1,9,1,9,1,9,700,4.67,4.61,34.394,27.23,90,0.99,705,0.999404407385348
7.01,34.295,26.868,0.989444699403396,3,2,7.47182946339776,3,7.94505699869183,8.99999554734288,8.75561523966298,8.46701001169804,8.79348659531582,9,9,8.99932047473804,8.99968680632495,8.99545775618822,8.99312177199759,9,1,9,1,9,1,9,1,9,433,7.01,6.97,34.295,26.86,124.4,0.73,436,0.999404407385348
7.998,34.052,26.53793,0.989444699403396,3,2,7.47182946339776,3,7.94505699869183,8.99999554734288,8.75561523966298,8.46701001169804,8.79348659531582,9,9,8.99932047473804,8.99968680632495,8.99545775618822,8.99312177199759,8.94766788032646,1,9,1,9,1,9,1,9,270,8,7.97,34.052,26.538,153.9,0.67,272,0.999404407385348
12.97,32.663,24.589,0.989444699403396,5,3,7.47182946339776,3,7.94505699869183,9,9,8.46701001169804,9,9,9,9,9,9,9,9,1,9,1,9,1,9,1,9,22,12.97,12.97,32.663,24.58,334.4,0.07,22,0.999404407385348
4.7,33.8403502938806,25.8193937373642,0.989444699403396,7,2,7.47182946339776,2.71678721579824,9,9,8.75561523966298,9,9,9,9,8.99932047473804,9,9,9,9,1,9,1,9,1,9,1,9,600,4.7,10.8422950455292,33.8402954670835,25.8110102536062,220.938918250642,0.431763052336453,605,0.999404407385348
14.45,33.19,24.695,0.989444699403396,3,2,7.47182946339776,3,7.94505699869183,9,8.75561523966298,8.46701001169804,8.79348659531582,8.99984823973741,8.99984354710015,8.99932047473804,8.99968680632495,8.99545775618822,8.99312177199759,9,1,9,1,9,1,9,1,9,1,14.45,14.45,33.19,24.69,323.8,0.003,1,0.999404407385348
9.57,33.924,26.186,0.989444699403396,7,2,7.47182946339776,3,7.94505699869183,9,8.75561523966298,8.46701001169804,8.79348659531582,8.99984823973741,8.99984354710015,8.99932047473804,8.99968680632495,8.99545775618822,8.99312177199759,9,1,9,1,9,1,9,1,9,125,9.57,9.56,33.924,26.18,184.7,0.3,126,0.999404407385348
4.63,33.8403502938806,25.8193937373642,0.989444699403396,7,2,7.47182946339776,2.71678721579824,9,9,8.75561523966298,9,9,9,9,8.99932047473804,9,9,9,9,1,9,1,9,1,9,1,9,900,4.63,10.8422950455292,33.8402954670835,25.8110102536062,220.938918250642,0.431763052336453,908,0.999404407385348
10.7996769200141,33.15,25.8193937373642,0.989444699403396,3,2.01714837803021,9,2,7.94505699869183,9,8.75561523966298,9,9,9,9,9,9,9,9,9,1,9,1,9,1,9,1,9,0,10.7996974891674,10.8422950455292,33.15,25.8110102536062,220.938918250642,0,0,0.999404407385348
4.88,33.8403502938806,25.8193937373642,0.989444699403396,3,2,7.47182946339776,2.71678721579824,9,9,8.75561523966298,9,9,9,9,8.99932047473804,9,9,9,9,1,9,1,9,1,9,1,9,771,4.88,10.8422950455292,33.8402954670835,25.8110102536062,220.938918250642,0.431763052336453,778,0.999404407385348
3.6,34.47,27.413,0.989444699403396,7,2,7.47182946339776,3,7.94505699869183,9,8.75561523966298,8.46701001169804,8.79348659531582,9,9,8.99932047473804,8.99968680632495,8.99545775618822,8.99312177199759,9,1,9,1,9,1,9,1,9,1100,3.6,3.52,34.47,27.41,75.2,1.66,1109,0.999404407385348
13.1,33.32,25.073,0.989444699403396,5,2,7.47182946339776,2,7.94505699869183,9,9,8.46701001169804,9,9,9,9,9,9,9,9,1,9,1,9,1,9,1,9,10,13.1,13.1,33.32,25.07,288.1,0.02,10,0.999404407385348
13.05,33.094,24.907,0.989444699403396,3,2,7.47182946339776,3,7.94505699869183,8.99999554734288,8.75561523966298,8.46701001169804,8.79348659531582,8.99984823973741,8.99984354710015,8.99932047473804,8.99968680632495,8.99545775618822,8.99312177199759,9,1,9,1,9,1,9,1,9,1,13.05,13.05,33.094,24.9,303.6,0.003,1,0.999404407385348
8.4,33.87,26.329,0.989444699403396,3,2,7.47182946339776,2,7.94505699869183,9,9,8.46701001169804,9,9,9,9,9,9,9,9,1,9,1,9,1,9,1,9,162,8.4,8.38,33.87,26.32,171.5,0.43,163,0.999404407385348
14.49,33.368,24.824,0.989444699403396,3,2,7.47182946339776,3,7.94505699869183,8.99999554734288,8.75561523966298,8.46701001169804,8.79348659531582,8.99984823973741,8.99984354710015,8.99932047473804,8.99968680632495,8.99545775618822,8.99312177199759,9,1,9,1,9,1,9,1,9,2,14.49,14.49,33.368,24.82,311.6,0.006,2,0.999404407385348
6.16,34.03,26.769,0.989444699403396,7,2,7.47182946339776,3,7.94505699869183,9,8.75561523966298,8.46701001169804,8.79348659531582,9,9,9,9,9,9,9,1,9,1,9,1,9,1,9,300,6.16,6.13,34.03,26.76,130.9,0.57,302,0.999404407385348
8.7,33.903,26.31,0.989444699403396,7,2,7.47182946339776,3,7.94505699869183,9,8.75561523966298,8.46701001169804,8.79348659531582,9,9,8.99932047473804,8.99968680632495,8.99545775618822,8.99312177199759,9,1,9,1,9,1,9,1,9,200,8.7,8.68,33.903,26.31,174.2,0.59,201,0.999404407385348
16.883,33.21,24.1693,0.989444699403396,3,2,7.47182946339776,3,7.94505699869183,8.99999554734288,8.75561523966298,8.46701001169804,8.79348659531582,8.99984823973741,8.99984354710015,8.99932047473804,8.99968680632495,8.99545775618822,8.99312177199759,8.94766788032646,1,9,1,9,1,9,1,9,2,16.88,16.88,33.21,24.169,374,0.008,2,0.999404407385348
15.64,33.479,24.66,0.989444699403396,7,2,7.47182946339776,3,7.94505699869183,9,8.75561523966298,8.46701001169804,8.79348659531582,8.99984823973741,8.99984354710015,8.99932047473804,8.99968680632495,8.99545775618822,8.99312177199759,9,1,9,1,9,1,9,1,9,0,15.64,15.64,33.479,24.66,327.2,0,0,0.999404407385348
12.16,32.365,24.513,0.989444699403396,5,3,7.47182946339776,3,7.94505699869183,9,9,8.46701001169804,9,9,9,9,9,9,9,9,1,9,1,9,1,9,1,9,0,12.16,12.16,32.365,24.51,341.1,0,0,0.999404407385348
8.66,33.729,26.178,0.989444699403396,7,2,7.47182946339776,3,7.94505699869183,9,8.75561523966298,8.46701001169804,8.79348659531582,9,9,9,9,9,9,9,1,9,1,9,1,9,1,9,100,8.66,8.65,33.729,26.17,184.7,0.23,101,0.999404407385348
6.28,34.25,26.93,0.989444699403396,5,2,7.47182946339776,2,7.94505699869183,9,9,8.46701001169804,9,9,9,9,9,9,9,9,1,9,1,9,1,9,1,9,450,6.28,6.24,34.25,26.93,118.1,0.79,453,0.999404407385348
12.2,33.8403502938806,25.8193937373642,0.989444699403396,7,2,7.47182946339776,2.71678721579824,9,9,8.75561523966298,9,9,9,9,8.99932047473804,9,9,9,9,1,9,1,9,1,9,1,9,30,12.2,10.8422950455292,33.8402954670835,25.8110102536062,220.938918250642,0.431763052336453,30,0.999404407385348
4.86,34.371,27.2,0.989444699403396,7,2,7.47182946339776,3,7.94505699869183,9,8.75561523966298,8.46701001169804,8.79348659531582,9,9,8.99932047473804,9,9,9,9,1,9,1,9,1,9,1,9,800,4.86,4.79,34.371,27.2,95.1,1.12,806,0.999404407385348
11.84,34.68,26.377,0.989444699403396,3,2,7.47182946339776,2,7.94505699869183,9,8.75561523966298,8.46701001169804,8.79348659531582,9,9,9,9,9,9,9,1,9,1,9,1,9,1,9,238,11.84,11.81,34.68,26.37,170.2,0.61,239,0.999404407385348
16.75,34.55,25.233,0.989444699403396,5,2,7.47182946339776,2,7.94505699869183,9,9,8.46701001169804,9,9,9,9,9,9,9,9,1,9,1,9,1,9,1,9,100,16.75,16.73,34.55,25.23,276.1,0.29,100,0.999404407385348
15.64,33.628,24.775,0.989444699403396,7,2,7.47182946339776,3,7.94505699869183,9,8.75561523966298,8.46701001169804,8.79348659531582,9,9,9,9,9,9,9,1,9,1,9,1,9,1,9,10,15.64,15.64,33.628,24.77,316.6,0.03,10,0.999404407385348
4.07,34.409,27.316,0.989444699403396,7,2,7.47182946339776,3,7.94505699869183,9,8.75561523966298,8.46701001169804,8.79348659531582,9,9,9,9,9,9,9,1,9,1,9,1,9,1,9,900,4.07,4,34.409,27.31,83.6,1.29,907,0.999404407385348
4.41,34.5,27.353,0.989444699403396,3,2,7.47182946339776,2,7.94505699869183,9,8.75561523966298,8.46701001169804,8.79348659531582,9,9,9,9,9,9,9,1,9,1,9,1,9,1,9,972,4.41,4.33,34.5,27.35,81.7,1.45,979,0.999404407385348
14.09,34.012,25.41,0.989444699403396,7,2,7.47182946339776,3,7.94505699869183,9,8.75561523966298,8.46701001169804,8.79348659531582,9,9,8.99932047473804,8.99968680632495,8.99545775618822,9,9,1,9,1,9,1,9,1,9,150,14.09,14.07,34.012,25.41,260.2,0.46,151,0.999404407385348
11.23,33.813,25.813,0.989444699403396,7,2,7.47182946339776,3,7.94505699869183,9,8.75561523966298,8.46701001169804,8.79348659531582,9,9,9,9,9,9,9,1,9,1,9,1,9,1,9,100,11.23,11.22,33.813,25.81,219.9,0.26,100,0.999404407385348
9.22,33.735,26.095,0.989444699403396,3,2,7.47182946339776,3,7.94505699869183,8.99999554734288,8.75561523966298,8.46701001169804,8.79348659531582,8.99984823973741,8.99984354710015,8.99932047473804,8.99968680632495,8.99545775618822,8.99312177199759,9,1,9,1,9,1,9,1,9,148,9.22,9.2,33.735,26.09,193.6,0.41,149,0.999404407385348
10.81,33.812,25.887,0.989444699403396,7,2,7.47182946339776,3,7.94505699869183,9,8.75561523966298,8.46701001169804,8.79348659531582,9,9,8.99932047473804,8.99968680632495,8.99545775618822,8.99312177199759,9,1,9,1,9,1,9,1,9,125,10.81,10.79,33.812,25.88,213.3,0.34,126,0.999404407385348
7.7,34.281,26.757,0.989444699403396,7,2,7.47182946339776,3,7.94505699869183,9,8.75561523966298,8.46701001169804,8.79348659531582,9,9,9,9,9,9,9,1,9,1,9,1,9,1,9,250,7.7,7.68,34.281,26.75,132.3,0.42,252,0.999404407385348
10.7996769200141,33.8403502938806,25.8193937373642,0.989444699403396,7,2.01714837803021,9,2.71678721579824,9,9,9,9,9,9,9,9,9,9,9,9,1,9,1,9,1,9,1,9,75,10.7996974891674,10.8422950455292,33.8402954670835,25.8110102536062,220.938918250642,0.431763052336453,76,0.999404407385348
9.65,33.637,25.948,0.989444699403396,7,2,7.47182946339776,3,7.94505699869183,9,8.75561523966298,8.46701001169804,8.79348659531582,9,9,9,9,9,9,9,1,9,1,9,1,9,1,9,75,9.65,9.64,33.637,25.94,206.2,0.22,75,0.999404407385348
14.15,33.69,25.145,0.989444699403396,3,2,7.47182946339776,2,7.94505699869183,9,8.75561523966298,8.46701001169804,8.79348659531582,9,9,8.99932047473804,9,9,9,9,1,9,1,9,1,9,1,9,25,14.15,14.15,33.69,25.14,281.7,0.07,25,0.999404407385348
15.36,33.548,24.775,0.989444699403396,7,2,7.47182946339776,3,7.94505699869183,9,8.75561523966298,8.46701001169804,8.79348659531582,9,9,9,9,9,9,9,1,9,1,9,1,9,1,9,10,15.36,15.36,33.548,24.77,316.5,0.03,10,0.999404407385348
10.24,33.209,25.516,0.989444699403396,7,2,7.47182946339776,3,7.94505699869183,9,9,8.46701001169804,9,9,9,9,9,9,9,9,1,9,1,9,1,9,1,9,100,10.24,10.23,33.209,25.51,247.9,0.33,100,0.999404407385348
7.26,34.3,26.835,0.989444699403396,7,2,7.47182946339776,3,7.94505699869183,9,8.75561523966298,8.46701001169804,8.79348659531582,9,9,9,9,9,9,9,1,9,1,9,1,9,1,9,300,7.26,7.23,34.3,26.83,125.5,0.59,302,0.999404407385348
9.13,33.97,26.294,0.989444699403396,3,2,7.47182946339776,2,7.94505699869183,9,8.75561523966298,8.46701001169804,8.79348659531582,9,9,9,9,9,9,9,1,9,1,9,1,9,1,9,147,9.13,9.11,33.97,26.29,174.8,0.37,148,0.999404407385348
15.02,33.347,24.696,0.989444699403396,7,2,7.47182946339776,3,7.94505699869183,9,8.75561523966298,8.46701001169804,8.79348659531582,9,9,9,9,9,9,9,1,9,1,9,1,9,1,9,50,15.02,15.01,33.347,24.69,325.2,0.16,50,0.999404407385348
6.33,34.227,26.904,0.989444699403396,3,2,7.47182946339776,3,7.94505699869183,9,8.75561523966298,8.46701001169804,8.79348659531582,9,9,8.99932047473804,8.99968680632495,8.99545775618822,8.99312177199759,9,1,9,1,9,1,9,1,9,407,6.33,6.29,34.227,26.9,119.9,0.72,410,0.999404407385348
9.54,34.11,26.338,0.989444699403396,3,2,7.47182946339776,2,7.94505699869183,9,9,8.46701001169804,9,9,9,9,9,9,9,9,1,9,1,9,1,9,1,9,194,9.54,9.52,34.11,26.33,171.8,0.45,195,0.999404407385348
3.19,34.452,27.437,0.989444699403396,7,2,7.47182946339776,3,7.94505699869183,9,8.75561523966298,8.46701001169804,8.79348659531582,9,9,8.99932047473804,9,9,9,9,1,9,1,9,1,9,1,9,1100,3.19,3.11,34.452,27.43,71.8,1.46,1110,0.999404407385348
6.714,34.136,26.7865,0.989444699403396,3,2,7.47182946339776,3,7.94505699869183,8.99999554734288,8.75561523966298,8.46701001169804,8.79348659531582,8.99984823973741,8.99984354710015,8.99932047473804,8.99968680632495,8.99545775618822,8.99312177199759,8.94766788032646,1,8.99999175116809,1,8.99999175134306,1,8.99999167102946,1,8.99999167101955,380,6.71,6.68,34.136,26.787,131.4,0.849,383,0.999404407385348
5.76,34.419,27.131,0.989444699403396,7,2,7.47182946339776,3,7.94505699869183,9,8.75561523966298,8.46701001169804,8.79348659531582,9,9,8.99932047473804,8.99968680632495,8.99545775618822,8.99312177199759,9,1,9,1,9,1,9,1,9,700,5.76,5.7,34.419,27.13,101.9,1.13,705,0.999404407385348
7.54,34.235,26.745,0.989444699403396,7,2,7.47182946339776,3,7.94505699869183,9,8.75561523966298,8.46701001169804,8.79348659531582,9,9,9,9,9,9,9,1,9,1,9,1,9,1,9,300,7.54,7.51,34.235,26.74,134.2,0.62,302,0.999404407385348
7.5,34.166,26.696,0.989444699403396,7,2,7.47182946339776,3,6,8.99999554734288,6,8.46701001169804,2,9,9,8.99932047473804,8.99968680632495,8.99545775618822,8.99312177199759,8.94766788032646,1,9,1,9,1,9,1,9,300,7.5,7.47,34.166,26.696,138.8,0.548,302,0.999404407385348
9.14,33.61,26.01,0.989444699403396,5,2,7.47182946339776,2,7.94505699869183,9,9,8.46701001169804,9,9,9,9,9,9,9,9,1,9,1,9,1,9,1,9,100,9.14,9.13,33.61,26.01,200.8,0.27,101,0.999404407385348
6.16,34.337,27.015,0.989444699403396,3,2,7.47182946339776,3,7.94505699869183,9,8.75561523966298,8.46701001169804,8.79348659531582,9,9,9,9,9,9,9,1,9,1,9,1,9,1,9,565,6.16,6.11,34.337,27.01,111.6,0.95,569,0.999404407385348
16.63,33.516,24.464,0.989444699403396,3,2,7.47182946339776,3,7.94505699869183,8.99999554734288,8.75561523966298,8.46701001169804,8.79348659531582,8.99984823973741,8.99984354710015,8.99932047473804,8.99968680632495,8.99545775618822,8.99312177199759,9,1,9,1,9,1,9,1,9,20,16.63,16.63,33.516,24.46,346.5,0.07,20,0.999404407385348
6.26,34.303,26.974,0.989444699403396,3,2,7.47182946339776,3,7.94505699869183,9,9,8.46701001169804,9,9,9,9,9,9,9,9,1,9,1,9,1,9,1,9,481,6.26,6.22,34.303,26.97,114.3,0.89,484,0.999404407385348
13.92,34.972,26.185,0.989444699403396,7,2,7.47182946339776,3,7.94505699869183,9,8.75561523966298,8.46701001169804,8.79348659531582,9,9,9,9,9,9,9,1,9,1,9,1,9,1,9,75,13.92,13.91,34.972,26.18,184.4,0.16,75,0.999404407385348
9.71,34.156,26.346,0.989444699403396,3,2,7.47182946339776,3,7.94505699869183,8.99999554734288,8.75561523966298,8.46701001169804,8.79348659531582,8.99984823973741,8.99984354710015,8.99932047473804,8.99968680632495,8.99545775618822,8.99312177199759,9,1,9,1,9,1,9,1,9,212,9.71,9.69,34.156,26.34,171.4,0.51,213,0.999404407385348
8.54,33.8403502938806,25.8193937373642,0.989444699403396,3,2,7.47182946339776,2.71678721579824,9,9,8.75561523966298,9,9,9,9,8.99932047473804,9,9,9,9,1,9,1,9,1,9,1,9,196,8.54,10.8422950455292,33.8402954670835,25.8110102536062,220.938918250642,0.431763052336453,198,0.999404407385348
15.15,33.281,24.615,0.989444699403396,7,2,6,3,6,9,8.75561523966298,8.46701001169804,8.79348659531582,8.99984823973741,8.99984354710015,8.99932047473804,8.99968680632495,8.99545775618822,8.99312177199759,8.94766788032646,1,9,1,9,1,9,1,9,10,15.15,15.15,33.281,24.615,331.7,0.033,10,0.999404407385348
12.76,33.32,25.143,0.989444699403396,3,2,7.47182946339776,3,7.94505699869183,8.99999554734288,8.75561523966298,8.46701001169804,8.79348659531582,8.99984823973741,8.99984354710015,8.99932047473804,8.99968680632495,8.99545775618822,8.99312177199759,9,1,9,1,9,1,9,1,9,124,12.76,12.74,33.32,25.14,284.5,0.4,125,0.999404407385348
8.13,34.016,26.485,0.989444699403396,3,2,7.47182946339776,3,7.94505699869183,8.99999554734288,8.75561523966298,8.46701001169804,8.79348659531582,9,9,8.99932047473804,8.99968680632495,8.99545775618822,8.99312177199759,9,1,9,1,9,1,9,1,9,229,8.13,8.11,34.01,26.48,157.8,0.56,230,0.999404407385348
13.92,33.347,24.929,0.989444699403396,3,2,7.47182946339776,3,7.94505699869183,8.99999554734288,8.75561523966298,8.46701001169804,8.79348659531582,8.99984823973741,8.99984354710015,8.99932047473804,9,8.99545775618822,8.99312177199759,9,1,9,1,9,1,9,1,9,56,13.92,13.91,33.347,24.92,303.1,0.2,56,0.999404407385348
17.27,33.553,24.343,0.989444699403396,7,2,7.47182946339776,3,7.94505699869183,9,8.75561523966298,8.46701001169804,8.79348659531582,8.99984823973741,8.99984354710015,9,9,9,9,9,1,9,1,9,1,9,1,9,50,17.27,17.26,33.553,24.34,359.1,0.17,50,0.999404407385348
18.48,35.081,25.218,0.989444699403396,3,2,7.47182946339776,3,7.94505699869183,9,8.75561523966298,8.46701001169804,8.79348659531582,9,9,8.99932047473804,8.99968680632495,8.99545775618822,8.99312177199759,9,1,9,1,9,1,9,1,9,55,18.48,18.47,35.081,25.21,276.1,0.21,55,0.999404407385348
8.96,34.34,26.614,0.989444699403396,3,2,7.47182946339776,2,7.94505699869183,9,8.75561523966298,8.46701001169804,8.79348659531582,9,9,9,9,9,9,9,1,9,1,9,1,9,1,9,333,8.96,8.92,34.34,26.61,148.3,0.7,335,0.999404407385348
4.87,34.302,27.142,0.989444699403396,7,2,7.47182946339776,3,7.94505699869183,9,8.75561523966298,8.46701001169804,8.79348659531582,9,9,9,9,9,9,9,1,9,1,9,1,9,1,9,600,4.87,4.82,34.302,27.14,98.2,1.02,604,0.999404407385348
15.67,33.7,24.824,0.989444699403396,3,2,7.47182946339776,2,7.94505699869183,9,9,8.46701001169804,9,9,9,9,9,9,9,9,1,9,1,9,1,9,1,9,29,15.67,15.67,33.7,24.82,312.5,0.09,29,0.999404407385348
19.69,33.2,23.471,0.989444699403396,3,2,7.47182946339776,3,7.94505699869183,8.99999554734288,8.75561523966298,8.46701001169804,8.79348659531582,8.99984823973741,8.99984354710015,8.99932047473804,8.99968680632495,8.99545775618822,8.99312177199759,9,1,9,1,9,1,9,1,9,1,19.69,19.69,33.2,23.47,440.5,0.004,1,0.999404407385348
15.14,33.14,24.509,0.989444699403396,7,2,7.47182946339776,2,7.94505699869183,9,8.75561523966298,8.46701001169804,8.79348659531582,9,9,9,9,9,9,9,1,9,1,9,1,9,1,9,0,15.14,15.14,33.14,24.5,341.6,0,0,0.999404407385348
18.79,33.122,23.641,0.989444699403396,3,2,7.47182946339776,3,7.94505699869183,8.99999554734288,8.75561523966298,8.46701001169804,8.79348659531582,8.99984823973741,8.99984354710015,8.99932047473804,8.99968680632495,8.99545775618822,8.99312177199759,9,1,9,1,9,1,9,1,9,11,18.79,18.79,33.122,23.64,424.7,0.04,11,0.999404407385348
13.81,33.549,25.107,0.989444699403396,3,2,7.47182946339776,3,7.94505699869183,8.99999554734288,8.75561523966298,8.46701001169804,8.79348659531582,8.99984823973741,8.99984354710015,8.99932047473804,8.99968680632495,8.99545775618822,8.99312177199759,9,1,9,1,9,1,9,1,9,31,13.81,13.81,33.549,25.1,285.5,0.1,31,0.999404407385348
5.41,34.264,27.049,0.989444699403396,3,2,7.47182946339776,3,7.94505699869183,9,8.75561523966298,8.46701001169804,8.79348659531582,9,9,9,9,9,9,9,1,9,1,9,1,9,1,9,535,5.41,5.37,34.264,27.04,107,0.98,539,0.999404407385348
11.83,33.605,25.539,0.989444699403396,7,2,7.47182946339776,3,7.94505699869183,9,8.75561523966298,8.46701001169804,8.79348659531582,9,9,9,9,9,9,9,1,9,1,9,1,9,1,9,50,11.83,11.82,33.605,25.53,244.7,0.15,50,0.999404407385348
10.7996769200141,33.8403502938806,25.8193937373642,0.989444699403396,7,2.01714837803021,9,2.71678721579824,9,9,9,9,9,8.99984823973741,8.99984354710015,9,9,9,9,9,1,9,1,9,1,8.99999167102946,1,8.99999167101955,50,10.7996974891674,10.8422950455292,33.8402954670835,25.8110102536062,220.938918250642,0.431763052336453,50,0.999404407385348
4.06,34.484,27.378,0.989444699403396,7,2,7.47182946339776,3,7.94505699869183,9,9,8.46701001169804,9,9,9,9,9,9,9,9,1,9,1,9,1,9,1,9,1000,4.06,3.98,34.484,27.37,78.8,1.37,1008,0.999404407385348
10.22,33.963,26.108,0.989444699403396,7,2,7.47182946339776,3,7.94505699869183,9,8.75561523966298,8.46701001169804,8.79348659531582,9,9,8.99932047473804,8.99968680632495,8.99545775618822,8.99312177199759,9,1,9,1,9,1,9,1,9,150,10.22,10.2,33.963,26.1,192.8,0.39,151,0.999404407385348
8.05,33.864,26.378,0.989444699403396,7,2,7.47182946339776,3,7.94505699869183,9,9,8.46701001169804,9,9,9,9,9,9,9,9,1,9,1,9,1,9,1,9,200,8.05,8.03,33.864,26.37,167.4,0.47,201,0.999404407385348
15.43,33.38,24.632,0.989444699403396,7,2,7.47182946339776,3,7.94505699869183,9,9,8.46701001169804,9,9,9,9,9,9,9,9,1,9,1,9,1,9,1,9,75,15.43,15.42,33.38,24.63,332.1,0.3,75,0.999404407385348
9.5,34.054,26.299,0.989444699403396,3,2,7.47182946339776,3,7.94505699869183,9,8.75561523966298,8.46701001169804,8.79348659531582,9,9,8.99932047473804,8.99968680632495,8.99545775618822,9,9,1,9,1,9,1,9,1,9,113,9.5,9.49,34.054,26.29,173.7,0.23,114,0.999404407385348
11.72,33.267,25.297,0.989444699403396,3,2,7.47182946339776,3,7.94505699869183,9,8.75561523966298,8.46701001169804,8.79348659531582,9,9,9,9,9,9,9,1,9,1,9,1,9,1,9,58,11.72,11.71,33.267,25.29,267.9,0.16,58,0.999404407385348
